Issue Type,Summary,Description,Priority,Labels,Epic Name,Epic Link
Epic,"[EXP] Instrumentation Foundation","PreProduct MLP 실험을 위한 이벤트 계측 기반 구축",High,"preproduct,experiment,mlp,analytics","EXP-A Instrumentation Foundation",
Task,"TKT-A1 이벤트 공통 스키마 적용","모든 이벤트에 공통 필드(event_time,user_id,session_id,category_id,app_version,channel) 표준 적용. 완료 기준: 필드 누락 없음, 샘플 로그 100건 검증.",High,"preproduct,experiment,analytics,tracking",,"EXP-A Instrumentation Foundation"
Task,"TKT-A2 핵심 이벤트 11종 트래킹 구현","핵심 이벤트 11종(view_landing,start_intent_input,complete_intent_input,view_decision_card,select_action,hold_reason_submit,revisit_decision,convert_after_hold,decision_satisfaction_submit,decision_card_error,report_low_quality_input) 구현. 완료 기준: 이벤트 명세 100% 일치, QA 확인.",Highest,"preproduct,experiment,analytics,tracking",,"EXP-A Instrumentation Foundation"
Task,"TKT-A3 이벤트 중복 방지(dedupe key) 적용","중복 발송 방지 로직 구현. 완료 기준: 중복 발송률 <1%, 충돌/누락 테스트 통과.",Medium,"preproduct,experiment,analytics,quality",,"EXP-A Instrumentation Foundation"
Epic,"[EXP] KPI Pipeline and Dashboard","핵심 지표 계산 파이프라인과 4개 운영 대시보드 구축",High,"preproduct,experiment,analytics,dashboard","EXP-B KPI Pipeline and Dashboard",
Task,"TKT-B1 KPI 계산 쿼리 작성","의향 등록률/판단 활용률/보류 후 재전환율/만족도/탐색 시간 절감률/신고율/카드 생성 실패율 주간 계산 쿼리 구현. 완료 기준: 수기 계산과 오차 0.",Highest,"preproduct,experiment,analytics,kpi",,"EXP-B KPI Pipeline and Dashboard"
Task,"TKT-B2 Executive/Funnel/Guardrail/Cohort 대시보드 구성","4개 패널 대시보드 구성 및 주간 자동 갱신. 8주/12주 목표선 시각화 반영.",High,"preproduct,experiment,dashboard,kpi",,"EXP-B KPI Pipeline and Dashboard"
Task,"TKT-B3 표본충족 경고 로직 구현","카테고리별 주간 n<100 경고 배지/리포트 경고 자동 포함.",Medium,"preproduct,experiment,analytics,guardrail",,"EXP-B KPI Pipeline and Dashboard"
Epic,"[EXP] Weekly Operating Cadence","Go/Hold/Stop 주간 판정 체계 자동화",Medium,"preproduct,experiment,ops","EXP-C Weekly Operating Cadence",
Task,"TKT-C1 주간 판정 리포트 템플릿 자동 생성","핵심 지표 달성 수, 가드레일 충족 여부, 판정 결과, 다음 주 실험 우선순위 자동 리포트 생성.",Medium,"preproduct,experiment,ops,reporting",,"EXP-C Weekly Operating Cadence"
Task,"TKT-C2 판정 규칙 엔진 구현","규칙 구현: Go(핵심 5중 4+ 가드레일 2), Hold(핵심 2~3 또는 가드레일 1 미충족), Stop(핵심 1 이하 2주 연속 또는 가드레일 심각 이탈 2주 연속).",High,"preproduct,experiment,ops,decisioning",,"EXP-C Weekly Operating Cadence"
Epic,"[EXP] Experiment Backlog Execution","핵심 가설 검증 실험 3종 실행",Medium,"preproduct,experiment,abtest","EXP-D Experiment Backlog Execution",
Task,"TKT-D1 판단 카드 문구 A/B 테스트","가설: 설명형 문구 강화 시 판단 활용률 +5%p. A: 기존 문구, B: 이유 3줄+행동 제안.",Medium,"preproduct,experiment,abtest,ux-copy",,"EXP-D Experiment Backlog Execution"
Task,"TKT-D2 보류 대안 추천 실험","가설: 보류 사유 맞춤 대안 제공 시 14일 재전환율 +4%p.",Medium,"preproduct,experiment,abtest,retention",,"EXP-D Experiment Backlog Execution"
Task,"TKT-D3 입력 마찰 감소 실험","가설: 입력 단계 축소/자동완성 시 의향 등록률 +6%p 및 입력 시간 단축.",Medium,"preproduct,experiment,abtest,funnel",,"EXP-D Experiment Backlog Execution"
Epic,"[EXP] Data Quality and Governance","측정 신뢰성/운영 거버넌스 확보",Medium,"preproduct,experiment,data-quality","EXP-E Data Quality and Governance",
Task,"TKT-E1 이벤트 QA 체크리스트 운영","릴리즈마다 이벤트 QA 체크리스트 수행 및 실패 항목 배포 차단.",High,"preproduct,experiment,qa,analytics",,"EXP-E Data Quality and Governance"
Task,"TKT-E2 타임존 표준화","저장 UTC, 대시보드 로컬 변환 적용. 일/주 경계값 오류 0건 목표.",Medium,"preproduct,experiment,data-quality,timezone",,"EXP-E Data Quality and Governance"
Task,"TKT-E3 저품질 입력 신고 프로세스 정의","신고 접수-분류-조치 SLA 문서화 및 운영자 콘솔 최소 기능 정의.",Medium,"preproduct,experiment,ops,trust-safety",,"EXP-E Data Quality and Governance"
